Daily Steps,Sleep Duration,Physical Activity Level,Age,Gender,Chronotype
0.4529218459779969,0.2619754133107249,90,48,1,0
0.8206886698099729,0.3861805849936413,44,50,0,0
0.6175167881125876,0.3153878762187367,86,29,0,0
0.5079297042434634,0.4061042814752013,48,41,0,0
0.6386626660951564,0.3493005510809665,49,22,0,0
0.4910701528789827,0.2670623145400593,32,44,1,0
0.0271467352478925,0.2204323866044934,40,44,1,0
0.8546935276468066,0.3611699872827469,69,49,1,0
0.4619231318759823,0.3993217465027553,70,43,1,0
0.5910844406343763,0.3175074183976261,89,34,0,0
0.0885840834404915,0.3005510809665112,54,45,1,0
0.451493070438634,0.2997032640949555,31,27,0,0
0.0161451635947992,0.2984315387876218,31,31,1,0
0.6022288898414059,0.4031369224247562,57,22,1,0
0.3553364766395199,0.278083933870284,77,50,0,0
0.7705386483783399,0.4048325561678678,89,42,0,0
0.6685240748678383,0.2187367528613819,83,41,1,0
0.6550935847978283,0.2975837219160661,78,29,1,0
0.8432633233319047,0.3132683340398474,73,36,1,0
0.9065580797256751,0.4264518863925392,34,24,0,0
0.7519645663666239,0.307757524374735,38,27,0,0
0.1197313901985998,0.30479016532429,74,23,0,0
0.7762537505357909,0.4357778719796523,55,46,0,0
0.5895127875410773,0.2975837219160661,80,27,0,0
0.3257608229747106,0.4662992793556592,71,23,0,0
0.6828118302614659,0.2721492157693938,51,28,1,0
0.2868981283040435,0.3459092835947435,88,48,0,0
0.91327332476068,0.1466723187791437,54,36,0,0
0.3386198028289755,0.5209834675710047,68,45,0,0
0.119874267752536,0.5222551928783383,75,48,0,0
0.0758679811401629,0.353963543874523,43,31,1,0
0.6349478496928134,0.2200084781687155,33,32,0,0
0.5986569509929991,0.2272149215769394,41,32,0,0
0.6990998714102015,0.4722339974565494,73,32,1,0
0.112158879839977,0.3141161509114031,45,31,0,0
0.7196742391770252,0.3582026282323018,35,29,1,0
0.9919988569795686,0.3480288257736329,79,45,1,0
0.3266180882983283,0.1750741839762611,90,25,1,0
0.4492070295756536,0.4845273420941076,49,46,0,0
0.9851407343906272,0.2590080542602798,38,39,0,0
0.4294899271324475,0.3929631199660873,38,31,1,0
0.4386340905843692,0.4391691394658753,48,28,0,0
0.2937562508929847,0.3403984739296312,84,27,1,0
0.186455207886841,0.3480288257736329,33,39,0,0
0.3291898842691813,0.4065281899109792,65,24,0,0
0.7876839548506929,0.4849512505298855,47,36,1,0
0.6313759108444064,0.3064857990674015,90,26,0,0
0.8114016288041148,0.2229758372191606,30,46,1,0
0.1555936562366052,0.2611275964391691,87,40,0,0
0.3687669667095299,0.353963543874523,49,46,1,0
0.6776682383197601,0.3501483679525222,71,34,1,0
0.2150307186740963,0.3531157270029673,41,22,0,0
0.9787112444634948,0.4451038575667655,31,41,1,0
0.415345049292756,0.3823654090716405,63,46,0,0
0.0442920417202457,0.2687579482831708,71,26,0,0
0.0808686955279325,0.3632895294616363,67,46,0,0
0.752536076582369,0.2967359050445103,35,29,1,0
0.6892413201885983,0.1924544298431539,41,32,0,0
0.2607515359337048,0.2623993217465027,78,29,0,0
0.0875839405629375,0.4412886816447647,60,33,1,0
0.5042148878411201,0.4688427299703264,90,25,1,0
0.1713101871695956,0.3208986858838491,90,38,1,0
0.7828261180168596,0.2161933022467146,69,28,1,0
0.8599799971424489,0.4400169563374311,49,43,1,0
0.5326475210744392,0.3183552352691818,37,36,1,0
0.2401771681668809,0.4739296311996608,35,30,0,0
0.0861551650235747,0.2653666807969478,43,28,1,0
0.8051150164309187,0.2598558711318355,71,44,0,0
0.7998285469352764,0.3183552352691818,58,27,0,0
0.6876696670952993,0.2335735481136074,49,39,0,0
0.7929704243463351,0.261551504874947,49,39,0,0
0.8964137733961994,0.387452310300975,88,42,1,0
0.9961423060437208,0.50996184824078,40,45,1,0
0.937991141591656,0.3560830860534125,83,29,0,0
0.78511215887984,0.344213649851632,64,29,1,0
0.4554936419488499,0.3611699872827469,86,38,1,0
0.6943849121303043,0.5570156846121238,78,40,1,0
0.7889698528361195,0.4391691394658753,77,28,0,0
0.2207458208315473,0.3836371343789742,32,39,0,0
0.1151593084726388,0.4777448071216617,49,40,0,0
0.0327189598514073,0.2284866468842729,88,40,0,0
0.1924560651521646,0.3565069944891903,49,31,1,0
0.396199457065295,0.2657905892327257,89,39,1,0
0.2751821688812688,0.3569309029249682,67,46,1,0
0.0841548792684668,0.4039847392963119,62,44,0,0
0.7798256893841977,0.2793556591776176,82,35,1,0
0.8449778539791399,0.344213649851632,73,43,1,0
0.262894699242749,0.2318779143704959,63,24,1,0
0.5152164594942135,0.486646884272997,38,43,1,0
0.3143306186598085,0.3471810089020771,79,42,1,0
0.757679668524075,0.307757524374735,42,50,1,0
0.4174882126018002,0.4302670623145401,47,24,1,0
0.0378625517931132,0.3425180161085205,37,49,1,0
0.1073010430061437,0.2136498516320474,81,50,1,0
0.982426060865838,0.387452310300975,30,22,0,0
0.9125589369909988,0.5307333615938957,37,22,0,0
0.4472067438205458,0.218312844425604,54,34,0,0
0.253607658236891,0.1899109792284866,60,22,0,0
0.0094299185597942,0.4853751589656633,34,36,0,0
0.3590512930418631,0.2975837219160661,83,40,0,0
0.0170024289184169,0.3815175922000848,48,36,0,0
0.7402486069438492,0.2645188639253921,56,42,1,0
0.0502928989855693,0.4294192454429843,47,22,1,0
0.2668952707529647,0.3857566765578635,83,41,0,0
0.0945849407058151,0.4489190334887664,78,23,0,0
0.9435633661951708,0.2238236540907164,65,23,0,0
0.9605657951135878,0.4819838914794404,80,42,0,0
0.8514073439062724,0.3548113607460788,49,38,0,0
0.38948421203029,0.3815175922000848,64,42,0,0
0.0707243891984569,0.4781687155574395,44,42,0,0
0.8882697528218317,0.4887664264518863,54,45,1,0
0.5873696242320332,0.2543450614667232,75,50,0,0
0.0872981854550649,0.4489190334887664,40,39,0,0
0.1604514930704386,0.3501483679525222,60,44,1,0
0.300614373481926,0.1835523526918185,46,48,0,0
0.8384054864980712,0.2691818567189487,70,45,1,0
0.3573367623946278,0.2721492157693938,76,23,0,0
0.7593941991713102,0.4425604069520983,85,34,0,0
0.2666095156450921,0.5587113183552352,67,24,1,0
0.7141020145735104,0.311148791860958,52,43,0,0
0.6436633804829262,0.2607036880033913,32,25,0,0
0.9474210601514504,0.2738448495125053,76,45,0,0
0.3909129875696527,0.3196269605765154,41,46,0,0
0.8142591798828405,0.1911827045358202,33,42,0,0
0.7821117302471783,0.4065281899109792,31,38,1,0
0.2306043720531504,0.3946587537091988,42,46,0,0
0.2521788826975282,0.2242475625264942,82,39,0,0
0.458636948135448,0.2297583721916066,67,34,0,0
0.133304757822546,0.3509961848240779,52,50,1,0
0.0824403486212316,0.516320474777448,68,28,0,0
0.8105443634804972,0.2335735481136074,65,26,0,0
0.5049292756108016,0.3891479440440865,53,27,1,0
0.5967995427918273,0.4256040695209834,35,27,0,0
0.1814544934990712,0.1869436201780415,57,34,1,0
0.5120731533076154,0.2356930902924968,58,36,0,0
0.5846549507072438,0.2369648155998304,46,34,0,0
0.5130732961851693,0.5256464603645613,86,49,0,0
0.598085440777254,0.304366256888512,89,22,0,0
0.4186312330332905,0.2628232301822806,63,48,1,0
0.6482354622088871,0.3192030521407376,54,47,0,0
0.2456065152164595,0.4035608308605341,42,37,0,0
0.0761537362480354,0.5303094531581178,53,36,0,0
0.6603800542934706,0.3543874523103009,54,26,1,0
0.4397771110158593,0.4256040695209834,46,27,1,0
0.3163309044149164,0.2335735481136074,80,49,1,0
0.7093870552936135,0.2573124205171683,52,24,1,0
0.6625232176025146,0.4675710046629928,35,30,0,0
0.4594942134590656,0.2276388300127172,42,35,0,0
0.2026003714816402,0.2289105553200509,68,36,0,0
0.2494642091727389,0.3459092835947435,49,50,1,0
0.1670238605515073,0.3632895294616363,71,33,0,0
0.0781540220031432,0.4010173802458669,75,44,1,0
0.0114302043149021,0.2662144976685036,68,41,0,0
0.4737819688526933,0.4760491733785502,48,45,0,0
0.0545792256036576,0.2988554472233997,68,46,0,0
0.9055579368481212,0.3429419245442984,46,49,0,0
0.377053864837834,0.5565917761763459,72,42,1,0
0.7025289327046722,0.4438321322594319,72,50,0,0
0.232461780254322,0.3001271725307333,63,22,0,0
0.117302471781683,0.4832556167867741,40,28,0,0
0.6410915845120733,0.5192878338278931,82,22,1,0
0.1920274324903558,0.4345061466723188,53,45,0,0
0.068724103443349,0.3582026282323018,70,48,1,0
0.3284754964994999,0.1937261551504875,62,38,1,0
